,genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Tmax_Tmin,uniprot_id
333,Staphylococcus saprophyticus,29385,S‐41,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000010125.1,33.1,2.6,D83371,51.5,10.0,31.5,28.0,35.0,40.0,30.0,UP001059747
334,Virgibacillus necropolis,163877,LMG 19488,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Virgibacillus,GCA_002224365.1,37.3,4.3,AJ315056,54.6,10.0,30.0,25.0,35.0,40.0,30.0,UP000204391
335,Staphylococcus xylosus,1288,KL162,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,GCA_000709415.1,32.9,2.8,D83374,51.2,10.0,30.0,25.0,35.0,40.0,30.0,UP001055915
336,Pelobacter acetylenicus,29542,WoAcy 1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,GCA_001888165.1,57.4,3.2,X70955,56.2,15.0,31.0,28.0,34.0,40.0,25.0,UP000182029
337,Lysobacter antibioticus,84531,UASM 3C,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,GCA_001442535.1,66.8,5.8,AB019582,55.3,2.0,29.0,25.0,33.0,40.0,38.0,UP000064630
338,Acidovorax carolinensis,553814,NA3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,GCA_002157145.1,64.2,4.1,EU910093,53.9,4.0,31.25,30.0,32.5,40.0,36.0,UP000194446
339,Hydrocarboniclastica marina,2259620,Soil36-7,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Hydrocarboniclastica,GCA_004851605.1,58.0,4.3,MH572220,55.8,4.0,30.0,28.0,32.0,40.0,36.0,UP000298049
340,Draconibacterium orientale,1168034,MK-7,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Draconibacterium,GCA_000626635.1,41.3,5.1,JQ683778,50.7,20.0,30.0,28.0,32.0,40.0,20.0,UP000023772
341,Archangium gephyra,48,M18,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,GCA_001027285.1,69.4,12.5,M94273,53.4,18.0,25.0,18.0,32.0,40.0,22.0,UP000035579
342,Martelella endophytica,1486262,YC6887,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella,GCA_000960975.1,62.1,4.8,HM800924,54.9,4.0,29.0,28.0,30.0,40.0,36.0,UP000032611
343,Mesorhizobium soli,1295366,NHI-8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,GCA_008727715.1,63.2,6.0,KC484966,56.9,15.0,29.0,28.0,30.0,40.0,25.0,UP000240653
344,Janibacter indicus,857417,0704P10-1,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,GCA_001889125.1,71.2,3.4,HM222655,57.0,15.0,29.0,28.0,30.0,40.0,25.0,UP000593998
345,Sulfurovum lithotrophicum,206403,42BKT,Bacteria,Proteobacteria,Epsilonproteobacteria,,,Sulfurovum,GCA_000987835.1,44.3,2.2,AB091292,51.0,10.0,29.0,28.0,30.0,40.0,30.0,UP000243846
346,Antarcticibacterium flavum,2058175,JB01H24,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Antarcticibacterium,GCA_006159205.1,40.9,4.4,KY985303,50.4,4.0,27.5,25.0,30.0,40.0,36.0,UP000309016
347,Akkermansia glycaniphila,1679444,Pyt,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,GCA_900097105.1,57.6,3.1,KT254068,55.9,15.0,27.5,25.0,30.0,40.0,25.0,UP000093101
348,Lacimicrobium alkaliphilum,1526571,X13M-12,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Lacimicrobium,GCA_001466725.1,50.6,4.4,KJ782426,54.2,4.0,27.5,25.0,30.0,40.0,36.0,UP000614272
349,Marinobacter salarius,1420917,R9SW1 ,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,GCA_000831005.1,57.1,4.6,KJ547705,55.2,4.0,27.5,25.0,30.0,40.0,36.0,UP001071891
350,Marinobacter similis,1420916,A3d10,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,GCA_000830985.1,57.6,4.0,KJ547704,54.8,4.0,27.5,25.0,30.0,40.0,36.0,UP000061489
351,Pseudoalteromonas donghaensis,621376,HJ51,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_003515105.1,41.6,4.7,FJ754319,52.6,4.0,27.5,25.0,30.0,40.0,36.0,UP000264605
352,Cellulophaga lytica,979,ATCC 23178,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,GCA_000190595.1,32.1,3.8,M62796,48.0,2.0,26.0,22.0,30.0,40.0,38.0,UP000198300
353,Caulobacter mirabilis,69666,FWC 38,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,GCA_002749615.1,69.3,4.6,AJ227774,55.5,10.0,25.0,20.0,30.0,40.0,30.0,UP000228945
354,Chitinophaga pinensis,79329,ATCC 43595,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,GCA_000024005.1,45.2,9.1,AF078775,50.5,10.0,23.5,23.0,24.0,40.0,30.0,UP000318815
355,Bacteroides cellulosilyticus,246787,CRE21,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,GCA_001318345.1,42.7,7.1,AJ583243,50.3,30.0,37.0,,,39.0,9.0,UP001058722
356,Actinobacillus lignieresii,720,ATCC 49236,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,GCA_900635785.1,41.1,2.4,M75068,51.6,20.0,37.0,,,39.0,19.0,UP000277275
357,Bacillus luti,2026191,TD41,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_009739945.1,35.7,5.3,KJ812415,53.4,10.0,30.0,,,39.0,29.0,UP000182965
358,Bacillus mobilis,2026190,0711P9-1,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_003612955.1,35.6,5.5,KJ812449,53.3,10.0,30.0,,,39.0,29.0,UP000706512
359,Roseovarius indicus,540747,B108,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseovarius,GCA_008728195.1,64.3,6.2,EU742628,54.4,10.0,25.0,,,39.0,29.0,UP000183238
360,Halothiobacillus neapolitanus,927,ATCC 23641,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,GCA_000024765.1,54.7,2.6,AF173169,53.5,8.0,30.0,28.0,32.0,39.0,31.0,UP000295114
361,Nocardioides daphniae,402297, D287,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,GCA_004777465.1,71.0,3.6,AM398438,57.8,4.0,28.0,,,38.0,34.0,UP000630594
362,Burkholderia plantarii,41899,ATCC 43733,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,GCA_001411805.1,68.6,8.1,U96933,54.4,4.0,33.5,32.0,35.0,38.0,34.0,UP000623845
363,Steroidobacter denitrificans,465721,FS,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Sinobacteraceae,Steroidobacter,GCA_001579945.1,61.7,3.5,EF605262,55.4,20.0,29.0,28.0,30.0,38.0,18.0,UP000070250
364,Zunongwangia profunda,398743,SM-A87,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zunongwangia,GCA_000023465.1,36.2,5.1,DQ855467,51.2,4.0,27.5,25.0,30.0,38.0,34.0,UP000257424
365,Microterricola viridarii,412690,KV-677,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microterricola,GCA_001542775.1,68.7,3.7,AB282862,56.3,10.0,22.5,15.0,30.0,38.0,28.0,UP000181956
366,Deinococcus irradiatisoli,2202254,17bor-2,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,GCA_003173015.1,67.0,3.1,KY939573,56.4,18.0,29.0,28.0,30.0,37.0,19.0,UP000245368
367,Ottowia oryzae,2109914,KADR8-3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,GCA_003008535.1,66.8,3.9,MH031704,54.8,10.0,29.0,28.0,30.0,37.0,27.0,UP000239709
368,Nibricoccus aquaticus,2576891,HZ-65,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Nibricoccus,GCA_002310495.1,62.2,4.7,MF944111,55.4,15.0,27.5,25.0,30.0,37.0,22.0,UP000217265
369,Escherichia marmotae,1499973,HT073016,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,GCA_002900365.1,50.4,4.9,KJ787692,54.7,25.0,37.0,,,37.0,12.0,UP000829366
370,Marinobacter salinus,1874317,Hb8,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,GCA_001854125.1,55.9,4.1,KX063622,55.4,10.0,37.0,,,37.0,27.0,UP000177445
371,Sphingobium fuliginis,336203,TKP,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,GCA_006363875.1,,5.4,DQ092757,54.7,20.0,37.0,,,37.0,17.0,UP000628109
372,Mesoplasma tabanidae,219745,BARC 857,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Entomoplasmataceae,Mesoplasma,GCA_002804025.1,26.9,0.8,AY187288,49.5,10.0,37.0,,,37.0,27.0,UP000232223
373,Acholeplasma axanthum,29552,S-743,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,GCA_900660745.1,28.1,1.9,AF412968,48.9,22.0,37.0,,,37.0,15.0,UP000289841
374,Hathewaya histolytica,1498,ATCC 19401,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hathewaya,GCA_901482605.1,,2.7,M59094,51.3,25.0,37.0,,,37.0,12.0,UP000308489
375,Clostridium kluyveri,1534,ATCC 8527,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_000016505.1,32.0,4.0,M59092,52.4,19.0,35.0,,,37.0,18.0,UP000184604
376,Methylophaga frappieri,754477,JAM7,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,GCA_000260965.1,47.9,2.7,NR_117532,52.9,15.0,34.0,,,37.0,22.0,UP000009145
377,Bradymonas sediminis,1548548,FA350 ,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,Bradymonadaceae,Bradymonas,GCA_003258315.1,61.1,5.0,KM034744,55.5,20.0,33.0,,,37.0,17.0,UP000294609
378,Spiroplasma cantharicola,362837,CC-1,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,GCA_001281045.1,25.0,1.2,DQ861914,49.8,10.0,32.0,,,37.0,27.0,UP000063919
379,Blastococcus saxobsidens,138336,BC444 ,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,GCA_000284015.1,72.9,4.9,AJ316571,59.3,20.0,32.0,,,37.0,17.0,UP000479241
380,Tetragenococcus koreensis,290335,JS,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,GCA_003795145.1,36.9,2.7,AY690334,54.3,4.0,30.0,,,37.0,33.0,UP000750429
381,Proteus cibarius,626774,JS9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,GCA_009740265.1,38.4,4.3,FJ796245,53.3,10.0,30.0,,,37.0,27.0,UP000682380
382,Acidipropionibacterium virtanenii,2057246,JS278,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,GCA_003325455.1,68.4,3.4,MG596783,57.4,12.0,30.0,,,37.0,25.0,UP000251995
383,Panacibacter ginsenosidivorans,1813871,Gsoil 1550,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Panacibacter,GCA_007971225.1,37.9,5.5,KT950744,51.3,10.0,30.0,,,37.0,27.0,UP000321533
384,Euzebyella marina,1761453,CY01,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Euzebyella,GCA_003687485.1,40.2,4.7,KU174197,56.5,15.0,30.0,,,37.0,22.0,UP000276309
385,Acetobacter oryzifermentans,1633874,SLV-7,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acetobacter,GCA_001628715.1,52.4,3.1,KR025515,55.4,15.0,30.0,,,37.0,22.0,UP000198285
386,Niveispirillum cyanobacteriorum,1612173,TH16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Niveispirillum,GCA_002868735.1,63.4,6.0,KJ862840,56.8,20.0,30.0,,,37.0,17.0,UP000644566
387,Actinoalloteichus hoggarensis,1470176,AH97,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinoalloteichus,GCA_002234535.1,,6.6,KJ504175,59.9,20.0,30.0,,,37.0,17.0,UP000541573
388,Blastomonas fulva,1550728,T2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,GCA_003431825.1,64.2,4.1,KM670031,53.7,8.0,30.0,,,37.0,29.0,UP000258016
389,Celeribacter marinus,1397108,IMCC12053 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,GCA_001308265.1,56.2,3.1,KF146343,54.2,4.0,30.0,,,37.0,33.0,UP000181863
390,Defluviimonas alba,1335048,cai42,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,GCA_001620265.1,,5.0,KC222646,55.1,20.0,30.0,,,37.0,17.0,UP000076128
391,Tessaracoccus aquimaris,1332264,NSG39,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,GCA_001997345.1,68.8,3.9,KC884005,57.1,15.0,30.0,,,37.0,22.0,UP000188145
392,Flaviflexus salsibiostraticola,1282737,EBR4-1-2,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Flaviflexus,GCA_003952265.1,65.6,2.6,KC251737,57.3,20.0,30.0,,,37.0,17.0,UP000270021
393,Gemmata massiliana,1210884,CSUR P189,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Gemmataceae,Gemmata,GCA_901538265.1,64.0,10.1,JX088244,56.2,25.0,30.0,,,37.0,12.0,UP000464178
394,Maribacter cobaltidurans,1178778,B1,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,GCA_002269385.1,39.7,4.6,JQ781697,55.5,15.0,30.0,,,37.0,22.0,UP000603042
395,Acinetobacter oleivorans,1148157,DR1,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,GCA_000196795.1,38.7,4.2,EF520734,52.7,20.0,30.0,,,37.0,17.0,UP001154108
396,Comamonas serinivorans,1082851,SP-35,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,GCA_002158865.1,67.9,4.5,JN604116,55.4,20.0,30.0,,,37.0,17.0,UP000196138
397,Paracoccus zhejiangensis,1077935,J6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,GCA_002847445.1,65.6,4.6,JN561152,55.2,10.0,30.0,,,37.0,27.0,UP000234530
398,Microbacterium lemovicicum,1072463,ViU22,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,GCA_003991875.1,70.9,3.6,JN243353,56.1,15.0,30.0,,,37.0,22.0,UP000276888
399,Planococcus plakortidis,1038856,AS/ASP6 ,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,GCA_001687605.2,50.0,3.3,JF775504,56.4,15.0,30.0,,,37.0,22.0,UP000092650
400,Vibrio jasicida,766224,TCFB 0772,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,GCA_002887615.1,45.1,6.0,AB562589,53.9,25.0,30.0,,,37.0,12.0,UP000562146
401,Methylophaga nitratireducenticrescens,754476,JAM1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Methylophaga,GCA_000260985.3,44.7,3.1,NR_074321,52.8,15.0,30.0,,,37.0,22.0,UP000316307
402,Pseudobacter ginsenosidimutans,661488,Gsoil 221,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Pseudobacter,GCA_007970185.1,46.9,7.8,GQ339899,52.0,10.0,30.0,,,37.0,27.0,UP000321651
403,Altererythrobacter namhicola,645517,KYW48,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,GCA_001687545.1,65.0,2.6,FJ935793,54.3,15.0,30.0,,,37.0,22.0,UP000092698
404,Neomicrococcus aestuarii,556325,DY66 ,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Neomicrococcus,GCA_001887245.1,59.1,2.7,EU939716,56.2,4.0,30.0,,,37.0,33.0,UP000580797
405,Chryseobacterium taklimakanense,536441,X-65,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,GCA_900187185.1,40.4,2.8,EU718058,51.1,18.0,30.0,,,37.0,19.0,UP000282297
406,Erythrobacter gangjinensis,502682,K7-2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,GCA_001886695.1,62.7,2.7,EU428782,54.1,15.0,30.0,,,37.0,22.0,UP000183202
407,Arachidicoccus ginsenosidivorans,496057,Gsoil 809,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,GCA_007971385.1,41.1,5.8,EU370955,50.2,10.0,30.0,,,37.0,27.0,UP000321291
408,Anseongella ginsenosidimutans,496056,Gsoil 524,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Anseongella,GCA_008033235.1,49.9,4.3,EU370954,54.6,15.0,30.0,,,37.0,22.0,UP000321711
409,Variovorax boronicumulans,436515,BAM-48,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,GCA_002291405.1,68.0,7.1,AB300597,54.2,4.0,30.0,,,37.0,33.0,UP000441010
410,Pseudomonas simiae,321846,Oli,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,GCA_000934565.1,60.4,6.1,AJ936933,53.2,4.0,30.0,,,37.0,33.0,UP000829246
411,Saccharophagus degradans,86304,Feb-40,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,GCA_000013665.1,45.8,5.1,AF055269,52.8,4.0,30.0,,,37.0,33.0,UP000753333
412,Microbacterium oxydans,82380,CIP 66.12,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,GCA_003991855.1,68.2,3.9,Y17227,56.3,20.0,30.0,,,37.0,17.0,UP001071012
413,Acholeplasma brassicae,61635,0502T,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma,GCA_000967915.1,35.8,1.9,AY538163,49.6,18.0,30.0,,,37.0,19.0,UP000032737
414,Pseudoalteromonas piscicida,43662,MB-1,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,GCA_002208135.1,43.4,5.3,X82215,53.0,10.0,30.0,,,37.0,27.0,UP000826919
415,Sporomusa termitida,2377,JSN-2,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,GCA_007641255.1,49.1,5.3,M61920,53.4,19.0,30.0,,,37.0,18.0,UP000320776
416,Corynebacterium ammoniagenes,1697,ATCC 6871,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,GCA_001941425.1,55.5,2.8,X84440,55.8,10.0,30.0,,,37.0,27.0,UP000558440
417,Stigmatella aurantiaca,41,ATCC 25190,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella,GCA_000165485.1,67.5,10.3,M94281,53.1,18.0,30.0,,,37.0,19.0,UP000182719
418,Acidithiobacillus ferridurans,1232575,JCM 18981,Bacteria,Proteobacteria,Acidithiobacillia,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,GCA_003966655.1,,2.9,AJ278719,56.6,10.0,29.0,,,37.0,27.0,UP000783902
419,Jeotgalibaca dankookensis,708126,EX-07,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,GCA_002005405.1,37.4,2.1,GU317945,54.1,10.0,28.0,,,37.0,27.0,UP000188993
420,Erythrobacter atlanticus,1648404,s21-N3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,GCA_001077815.2,58.4,3.2,KP994305,53.7,4.0,28.0,,,37.0,33.0,UP000059113
421,Hartmannibacter diazotrophicus,1482074,E19,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,,Hartmannibacter,GCA_900231165.1,64.0,5.4,KC567245,56.0,22.0,28.0,,,37.0,15.0,UP000223606
422,Celeribacter manganoxidans,1411902,DY2-5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,GCA_002504165.1,64.8,4.0,KF356415,54.1,0.0,28.0,,,37.0,37.0,UP000219050
423,Sulfitobacter pseudonitzschiae,1402135,H3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,GCA_002222635.1,59.5,5.1,KF006321,54.6,10.0,28.0,,,37.0,27.0,UP000809748
424,Aquabacterium olei,1296669,NHI-1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,,Aquabacterium,GCA_003100395.1,67.3,4.3,KC424519,56.3,10.0,28.0,,,37.0,27.0,UP000244892
425,Streptomyces hundungensis,1077946,MBRL 251,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_003627815.1,70.9,8.4,JN560157,58.5,15.0,28.0,,,37.0,22.0,UP000271554
426,Desulfosarcina widdelii,947919,PP31,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfosarcina,GCA_009688965.1,54.0,7.3,AB610146,53.5,20.0,28.0,,,37.0,17.0,UP000427769
427,Kibdelosporangium phytohabitans,860235,KLBMP 1111,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Kibdelosporangium,GCA_001302585.1,68.4,11.8,HM153787,59.3,15.0,28.0,,,37.0,22.0,UP000628570
428,Lysobacter capsici,435897,YC5194 ,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,GCA_001442785.1,66.6,6.4,EF488749,55.5,15.0,28.0,,,37.0,22.0,UP000676054
429,Streptomyces xiamenensis,408015,MCCC 1A01550,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_000993785.3,72.0,6.0,EF012099,58.5,15.0,28.0,,,37.0,22.0,UP000034034
430,Martelella mediterranea,293089,MACL11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Aurantimonadaceae,Martelella,GCA_002043005.1,62.4,5.7,AY649762,55.1,4.0,28.0,,,37.0,33.0,UP000237602
431,Paenibacillus borealis,160799,KK19,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_000758665.1,51.4,8.2,AJ011322,55.5,5.0,28.0,,,37.0,32.0,UP000187412
432,Methylocystis rosea,173366,SV97,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,GCA_003855495.1,62.5,4.2,AJ414656,56.3,5.0,27.0,,,37.0,32.0,UP000424673
433,Lactobacillus hokkaidonensis,1193095,LOOC260,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,GCA_000829395.1,38.2,2.4,AB721549,51.3,4.0,25.0,,,37.0,33.0,UP000051884
434,Saccharibacillus brassicae,2583377,ATSA2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Saccharibacillus,GCA_006542275.1,58.4,5.6,MN100138,55.7,15.0,25.0,,,37.0,22.0,UP000316968
435,Wenyingzhuangia fucanilytica,1790137,CZ1127,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Wenyingzhuangia,GCA_001697185.1,31.6,3.4,FJ526380,49.0,15.0,25.0,,,37.0,22.0,UP000092967
436,Deinococcus actinosclerus,1768108,BM2,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,GCA_001507665.1,70.6,3.3,KT448814,55.7,25.0,25.0,,,37.0,12.0,UP000248344
437,Paraburkholderia caffeinilytica,1761016,CF1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,GCA_003368325.1,62.2,8.3,KT607985,55.7,15.0,25.0,,,37.0,22.0,UP000602004
438,Flavobacterium kingsejongi,1678728,WV39,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_003076475.1,39.8,4.2,KT239020,50.6,10.0,25.0,,,37.0,27.0,UP000244677
439,Mucilaginibacter gotjawali,1550579,SA3-7 ,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,GCA_002355435.1,43.2,6.3,KM588182,51.1,10.0,25.0,,,37.0,27.0,UP000539265
440,Flavisolibacter tropicus,1492898,LCS9,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,GCA_001644645.1,41.5,5.9,KJ461518,53.3,10.0,25.0,,,37.0,27.0,UP000077177
441,Planococcus halocryophilus,1215089,Or1,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,GCA_001687585.2,40.1,3.4,JF742665,55.6,-10.0,25.0,,,37.0,47.0,UP000092687
442,Bacillus lehensis,300825,MLB2 ,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_000706725.1,39.9,4.0,AY793550,54.7,10.0,25.0,,,37.0,27.0,UP000298210
