,Cellular component,Molecular function,Ligand,Biological process,PTM,no_keywords,Technical term,Domain
906119,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
906154,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
906155,,,,,,,Reference proteome,Coiled coil
906164,,rRNA-binding,,,,,Reference proteome,
906203,,tRNA-binding,,,,,Reference proteome,
906204,,rRNA-binding,,,,,Reference proteome,
906208,,tRNA-binding,,,,,Reference proteome,
906209,,rRNA-binding,,,Methylation,,Reference proteome,
906261,Cytoplasm,Chaperone,,,,,Reference proteome,
906277,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,Reference proteome,
906337,,Ribosomal protein,,,,,Reference proteome,
906340,,Ribosomal protein,,,,,Reference proteome,
906351,,DNA-binding,,Translation regulation,,,Reference proteome,
906387,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
906392,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
906420,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,Reference proteome,
906428,,rRNA-binding,,,,,Reference proteome,
906447,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
906452,Cytoplasm,Hydrolase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
906464,Cytoplasm,Protease,Nucleotide-binding,,,,Reference proteome,
906465,,Ribosomal protein,,,,,Reference proteome,
906467,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
906476,,rRNA-binding,,,,,Reference proteome,
906478,,Ribosomal protein,,,,,Reference proteome,
906535,,Protease,Zinc,,,,Reference proteome,
906543,,,NAD,,,,Reference proteome,Repeat
906579,,Ribosomal protein,,,,,Reference proteome,
906633,,rRNA-binding,,,,,Reference proteome,
906638,,tRNA-binding,,,,,Reference proteome,
906642,,Ribosomal protein,,,,,Reference proteome,
906666,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
906755,,Ribosomal protein,,,,,Reference proteome,
906920,,,,,Phosphoprotein,,Reference proteome,
906948,,,,Transport,,,Reference proteome,
907158,Cytoplasm,,,,,,Reference proteome,
907212,,Transferase,,,,,Reference proteome,
907260,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
907814,,,,,Phosphoprotein,,Reference proteome,
908430,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
908449,Membrane,Translocase,Ubiquinone,,Quinone,,Reference proteome,Repeat
908483,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,Reference proteome,
908536,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
908571,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,Reference proteome,
908846,,Ribosomal protein,,,,,Reference proteome,
908886,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
908917,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,Reference proteome,
908932,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
908973,,tRNA-binding,,,,,Reference proteome,
910321,Cytoplasm,DNA-binding,,,,,Reference proteome,
910581,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,
910613,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,
910616,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
910630,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
910637,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
910644,,Topoisomerase,Metal-binding,,,,Reference proteome,
910707,Membrane,Protease,Zinc,,,,Reference proteome,Transmembrane helix
910732,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,Coiled coil
910746,Cytoplasm,Chaperone,Zinc,Stress response,,,Reference proteome,Zinc-finger
910772,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
910806,Cytoplasm,Initiation factor,,Protein biosynthesis,,,Reference proteome,
910812,,rRNA-binding,,,,,Reference proteome,
910822,,rRNA-binding,,,,,Reference proteome,
910831,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
910832,,Rotamase,,,,,Reference proteome,
910872,,rRNA-binding,,,,,Reference proteome,
910874,,Ribosomal protein,,,,,Reference proteome,
910896,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
910924,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,Reference proteome,
910933,Cytoplasm,RNA-binding,,Transcription termination,,,Reference proteome,
910937,DNA-directed RNA polymerase,Transferase,,Transcription regulation,,,Reference proteome,
910939,Cytoplasm,Hydrolase,Nucleotide-binding,DNA repair,,,Reference proteome,
910966,Cytoplasm,,NAD,tRNA processing,,,Reference proteome,
910970,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
910975,,Ribosomal protein,,,,,Reference proteome,
910981,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
910985,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
911015,,Elongation factor,,Transcription regulation,,,Reference proteome,
911046,,Transferase,,,,,Reference proteome,
911060,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
911062,Cytoplasm,Hydrolase,Nucleotide-binding,,,,Reference proteome,
911064,,tRNA-binding,,,,,Reference proteome,
911065,,tRNA-binding,,,,,Reference proteome,
911066,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
911067,,rRNA-binding,,,,,Reference proteome,
911068,,rRNA-binding,,,,,Reference proteome,
911072,,rRNA-binding,,,,,Reference proteome,
911075,,rRNA-binding,,,,,Reference proteome,
911078,,rRNA-binding,,,,,Reference proteome,
911080,,rRNA-binding,,,,,Reference proteome,
911085,,Ribosomal protein,,,,,Reference proteome,
911087,,rRNA-binding,,,,,Reference proteome,
911088,Cytoplasm,Hydrolase,Metal-binding,,,,Reference proteome,
911092,,tRNA-binding,,,,,Reference proteome,
911124,,rRNA-binding,,,,,Reference proteome,
911144,Membrane,RNA-binding,,,,,Reference proteome,Transmembrane helix
911149,,Ligase,Nucleotide-binding,,,,Reference proteome,
911157,,Ribosomal protein,,,,,Reference proteome,
911170,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
911176,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
911410,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
911430,,Ribosomal protein,,,,,Reference proteome,
911458,Cytoplasm,Excision nuclease,Zinc,DNA repair,,,Reference proteome,Zinc-finger
911707,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
911728,,Ribosomal protein,,,,,Reference proteome,
911993,,DNA-binding,,,,,Reference proteome,
912001,,Transferase,,,,,Reference proteome,
912029,,Chaperone,Nucleotide-binding,,,,Reference proteome,
912066,,,Zinc,,,,Reference proteome,
912090,,,,,,,Reference proteome,
912134,,Isomerase,Metal-binding,,,,Reference proteome,
912237,,Ribosomal protein,,,,,Reference proteome,
912264,,,,,,,Reference proteome,
912406,,DNA-binding,,,,,Reference proteome,
912408,,Ribosomal protein,,,,,Reference proteome,
912457,,,Nucleotide-binding,Transcription regulation,,,Reference proteome,
912486,,,,,,,Reference proteome,
912847,,Ribosomal protein,,,,,Reference proteome,
912910,,,,,,,Reference proteome,
913167,,,Biotin,Lipid metabolism,,,Reference proteome,
913322,,,Zinc,,,,Reference proteome,Zinc-finger
913404,,Ribosomal protein,,,,,Reference proteome,
913645,,,,,,,Reference proteome,
913822,,Protease,Zinc,,,,Reference proteome,
913839,,Ribosomal protein,,,,,Reference proteome,
913879,,DNA-binding,,,Phosphoprotein,,Reference proteome,
914044,,Ribosomal protein,,,,,Reference proteome,
914218,,Ribosomal protein,,,,,Reference proteome,
914374,,,,,,,Reference proteome,
914407,,,,,,,Reference proteome,
914426,,,,,Phosphoprotein,,Reference proteome,
914537,,Protease,Nucleotide-binding,,,,Reference proteome,Repeat
914778,,,,,,,Reference proteome,
915183,Membrane,Translocase,Nucleotide-binding,Transport,,,Reference proteome,Coiled coil
915187,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,,,Reference proteome,Glutamine amidotransferase
915188,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
915191,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,Reference proteome,Coiled coil
915214,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
915238,Cytoplasm,Topoisomerase,Nucleotide-binding,,,,Reference proteome,
915240,Cytoplasm,Chaperone,Zinc,Stress response,,,Reference proteome,Zinc-finger
915256,,Topoisomerase,Metal-binding,,,,Reference proteome,
915295,Cytoplasm,Transferase,Metal-binding,,,,Reference proteome,
915308,Cytoplasm,Hydrolase,Nucleotide-binding,DNA repair,,,Reference proteome,
915331,,,Biotin,Lipid metabolism,,,Reference proteome,
915332,,Ribosomal protein,,,,,Reference proteome,
915339,DNA-directed RNA polymerase,Transferase,,Transcription regulation,,,Reference proteome,
915347,Cytoplasm,RNA-binding,,Transcription termination,,,Reference proteome,
915354,,Ligase,Nucleotide-binding,,,,Reference proteome,
915360,Cytoplasm,,NAD,tRNA processing,,,Reference proteome,
915391,,Ribosomal protein,,,,,Reference proteome,
915393,Cytoplasm,Ligase,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,Coiled coil
915398,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
915399,Cytoplasm,Hydrolase,Nucleotide-binding,,,,Reference proteome,
915406,,Ligase,Nucleotide-binding,Lipid metabolism,,,Reference proteome,
915416,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,
915429,,Rotamase,,,,,Reference proteome,
915430,Cytoplasm,Hydrolase,Metal-binding,,,,Reference proteome,
915451,,RNA-binding,,,,,Reference proteome,Coiled coil
915458,,Ribosomal protein,,,,,Reference proteome,
915474,,RNA-binding,,,,,Reference proteome,Repeat
915480,,Oxidoreductase,Pyridoxal phosphate,,,,Reference proteome,
915503,Primosome,Hydrolase,Nucleotide-binding,DNA replication,,,Reference proteome,
915505,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
915546,,Hydrolase,Nucleotide-binding,,,,Reference proteome,
915554,,Ribosomal protein,,,,,Reference proteome,
915592,,rRNA-binding,,,,,Reference proteome,
915609,,rRNA-binding,,,,,Reference proteome,
915620,,rRNA-binding,,,,,Reference proteome,
915622,,tRNA-binding,,,,,Reference proteome,
915630,,tRNA-binding,,,,,Reference proteome,
915634,,tRNA-binding,,,,,Reference proteome,
915636,,Transferase,,,,,Reference proteome,
915639,,rRNA-binding,,,,,Reference proteome,
915653,,rRNA-binding,,,,,Reference proteome,
915688,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
915698,,rRNA-binding,,,,,Reference proteome,
915704,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,Reference proteome,
915707,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
915708,,rRNA-binding,,,,,Reference proteome,
915716,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
915956,,,Zinc,,,,Reference proteome,Zinc-finger
916139,,Ribosomal protein,,,,,Reference proteome,
916427,,Initiation factor,,Protein biosynthesis,,,Reference proteome,
916531,Cytoplasm,Excision nuclease,Zinc,DNA repair,,,Reference proteome,Zinc-finger
916674,,Ribosomal protein,,,,,Reference proteome,
916782,Cytoplasm,DNA-binding,,Transcription regulation,,,Reference proteome,
917002,,Isomerase,Metal-binding,,,,Reference proteome,
917004,,,,,,,Reference proteome,
917023,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,
917032,,Chaperone,Nucleotide-binding,,,,Reference proteome,
917102,,,,,Phosphoprotein,,Reference proteome,
917280,,,,,,,Reference proteome,
917436,,,Zinc,,,,Reference proteome,
917589,,Ribosomal protein,,,,,Reference proteome,
917938,,Chaperone,Nucleotide-binding,,,,Reference proteome,Repeat
918254,,Ribosomal protein,,,,,Reference proteome,
918298,,Ribosomal protein,,,,,Reference proteome,
918351,,Protease,Zinc,,,,Reference proteome,
918509,,,,,,,Reference proteome,
918520,,,,,,,Reference proteome,
918549,,,,,,,Reference proteome,
918632,,,,,,,Reference proteome,
918763,,Ribosomal protein,,,,,Reference proteome,
918895,,DNA-binding,,,Phosphoprotein,,Reference proteome,
919078,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,,
919102,Membrane,Translocase,Nucleotide-binding,Transport,,,,
919106,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
919116,,Transferase,Nucleotide-binding,,,,,
919120,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
919218,Cytoplasm,Transferase,Metal-binding,,,,,
919239,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
919258,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
919266,DNA-directed RNA polymerase,Transferase,,Transcription,,,,Coiled coil
919269,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
919316,,tRNA-binding,,,,,,
919324,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
919326,,tRNA-binding,,,,,,
919373,,rRNA-binding,,,,,,
919376,,tRNA-binding,,,,,,
919479,,Ribosomal protein,,,,,,
919480,,Ribosomal protein,,,,,,
919495,,rRNA-binding,,,,,,
919500,,tRNA-binding,,,,,,
919575,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
919591,,Ribosomal protein,,,,,,
919627,,rRNA-binding,,,,,,
919642,Cytoplasm,Chaperone,,Stress response,,,,
919695,,rRNA-binding,,,,,,
919697,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
919710,,rRNA-binding,,,,,,
919746,,Ribosomal protein,,,,,,
919885,,Ribosomal protein,,,,,,
920130,,Protease,Nucleotide-binding,,,,,Repeat
920245,,,Metal-binding,Transport,,,,Repeat
921939,,Hydrolase,,,,,,
922287,,,,,Phosphoprotein,,,
922378,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
922411,,Lyase,Zinc,Thiamine biosynthesis,,,,
922413,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
922430,,Oxidoreductase,NAD,,,,,
922477,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,,
922479,Membrane,Translocase,Ubiquinone,,Quinone,,,
922490,,Lyase,Metal-binding,Leucine biosynthesis,,,,
922512,Cytoplasm,Serine protease,Nucleotide-binding,Stress response,,,,
922522,Membrane,Protease,Zinc,,,,,Transmembrane helix
922523,,Topoisomerase,Nucleotide-binding,,,,,
922552,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,,Coiled coil
922603,Cytoplasm,Chaperone,Zinc,Stress response,,,,Zinc-finger
922624,Cytoplasm,Protease,Nucleotide-binding,,,,,
922688,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
922691,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
922693,,rRNA-binding,,,,,,
922702,,tRNA-binding,,,,,,
922709,,tRNA-binding,,,,,,
922715,,tRNA-binding,,,,,,
922717,,rRNA-binding,,,,,,
922718,,rRNA-binding,,,,,,
922724,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
922726,,rRNA-binding,,,,,,
922729,,rRNA-binding,,,,,,
922762,,Ribosomal protein,,,,,,
922795,,,NAD,,,,,Repeat
922852,,Ribosomal protein,,,,,,
922867,,Ribosomal protein,,,,,,
922870,,Ribosomal protein,,,,,,
922920,,DNA-binding,,Translation regulation,,,,
922922,,rRNA-binding,,,,,,
922970,,Lyase,,Leucine biosynthesis,,,,
922986,,,NAD,,,,,Repeat
922996,,Oxidoreductase,Thiamine pyrophosphate,,,,,
923022,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
923085,,,,,,True,,
923097,,rRNA-binding,,,,,,
923104,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
923126,Cytoplasm,Transferase,Metal-binding,,,,,
923159,,Protease,Nucleotide-binding,,,,,Repeat
923170,,,Metal-binding,,,,,
923236,Cytoplasm,Chaperone,,,,,,
923260,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
923271,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,,
923273,,Ribosomal protein,,,,,,
923295,Cytoplasm,Hydrolase,NAD,One-carbon metabolism,,,,
923335,Cytoplasm,,,Protein biosynthesis,Methylation,,,
923507,,,,,,True,,
923903,,Ribosomal protein,,,,,,
923968,,Oxidoreductase,Metal-binding,Glutamate biosynthesis,,,,Glutamine amidotransferase
924347,,Ribosomal protein,,,,,,
924468,,,,Transport,,,,
924761,Cytoplasm,DNA-binding,,,,,,
924915,,Ribosomal protein,,,,,,
924939,,Transferase,,,,,,
926069,,,,,Phosphoprotein,,,
926191,,Ribosomal protein,,,,,,
926532,,DNA-binding,,,,,,
927233,,Transferase,,,,,,
927264,,,,,Phosphoprotein,,,
927594,Membrane,Protease,Zinc,,,,,Transmembrane helix
927624,,Lyase,Zinc,Thiamine biosynthesis,,,,
927705,,Oxidoreductase,Metal-binding,Deoxyribonucleotide synthesis,,,,
927740,,Topoisomerase,Zinc,,,,,Zinc-finger
927744,,Lyase,Metal-binding,Leucine biosynthesis,,,,
927770,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
927821,,Nuclease,Metal-binding,DNA repair,,,,
927846,,Transferase,Nucleotide-binding,,,,,
927850,Cytoplasm,Transferase,Metal-binding,,,,,
927852,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,,Repeat
927865,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
927881,,Oxidoreductase,NAD,,,,,
927882,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
927900,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
927906,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,,
927990,,rRNA-binding,,,,,,
928061,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,,Repeat
928085,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
928116,,Ribosomal protein,,,,,,
928136,,,Metal-binding,Transport,,,,Repeat
928143,Cytoplasm,RNA-binding,,Translation regulation,,,,
928171,,Oxidoreductase,Nucleotide-binding,Deoxyribonucleotide synthesis,,,,
928179,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,,
928229,,Protease,Zinc,,,,,
928239,,Lyase,,Leucine biosynthesis,,,,
928243,,rRNA-binding,,,,,,
928248,,DNA-binding,,Translation regulation,,,,
928341,Membrane,,Metal-binding,,,,,
928420,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
928423,,Oxidoreductase,NADP,Tricarboxylic acid cycle,,,,
928438,,,Metal-binding,,,,,
928467,,DNA-binding,,Translation regulation,,,,
928501,,Ligase,Nucleotide-binding,Purine biosynthesis,,,,
928532,,,Metal-binding,Iron storage,,,,
928573,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,,
928593,,,Ubiquinone,,,,,Repeat
928621,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
928639,,rRNA-binding,,,,,,
928653,,tRNA-binding,,,,,,
928654,,rRNA-binding,,,,,,
928658,,tRNA-binding,,,,,,
928664,,rRNA-binding,,,,,,
928665,,Ribosomal protein,,,,,,
928668,,rRNA-binding,,,Methylation,,,
928688,,rRNA-binding,,,,,,
928697,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
928705,,rRNA-binding,,,,,,
928708,,rRNA-binding,,,,,,
928710,,Ribosomal protein,,,,,,
928711,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
928713,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
928715,,,,Transcription termination,,,,
928722,,rRNA-binding,,,,,,
928725,,tRNA-binding,,,,,,
928765,,,Metal-binding,Transport,,,,
928795,,Ribosomal protein,,,,,,
928808,,Ribosomal protein,,,,,,
929315,,Ribosomal protein,,,,,,
929423,,Ribosomal protein,,,,,,
929616,,Ribosomal protein,,,,,,
929987,,DNA-binding,,,,,,
930581,,Rotamase,,,,,,
931345,,,Flavoprotein,,,,,
932906,,Ribosomal protein,,,,,,
932959,,Transferase,,,,,,
933026,,,,,Phosphoprotein,,,
933445,Membrane,Protease,Zinc,,,,,Transmembrane helix
933525,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,,Repeat
933539,Cytoplasm,Transferase,Nucleotide-binding,Aromatic amino acid biosynthesis,,,,
933541,,Transferase,Nucleotide-binding,,,,,
933589,Cytoplasm,Sigma factor,,Transcription regulation,,,,Coiled coil
933591,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
933636,Cytoplasm,Protease,Nucleotide-binding,,,,,
933639,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
933698,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
933708,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,,
933718,,Nuclease,Metal-binding,DNA repair,,,,
933788,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,
933794,,Ribosomal protein,,,,,,
933807,,rRNA-binding,,,,,,
933823,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,,
933841,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
933953,,DNA-binding,,Translation regulation,,,,
933955,,Ribosomal protein,,,,,,
933971,,tRNA-binding,,,,,,
933993,,Ribosomal protein,,,,,,
934002,,rRNA-binding,,,Methylation,,,
934005,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
934014,,tRNA-binding,,,,,,
934020,,Ribosomal protein,,,,,,
934023,,rRNA-binding,,,,,,
934047,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
934075,,Lyase,Metal-binding,,,,,
934098,,rRNA-binding,,,,,,
934132,Membrane,Translocase,Nucleotide-binding,Transport,,,,
934147,,tRNA-binding,,,,,,
934172,,rRNA-binding,,,,,,
934198,,,,Transcription termination,,,,
934215,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
934228,,rRNA-binding,,,,,,
934311,,rRNA-binding,,,,,,
934320,,Ribosomal protein,,,,,,
934362,,Ribosomal protein,,,,,,
934381,,Protease,Zinc,,,,,
934387,Cytoplasm,,Zinc,,,,,Zinc-finger
934474,Cytoplasm,RNA-binding,,Translation regulation,,,,
935785,,,,,,True,,
935896,,,,,,True,,
936031,,,,,,True,,
936327,,Ribosomal protein,,,,,,
936329,,Ribosomal protein,,,,,,
936410,,Ribosomal protein,,,,,,
936772,,DNA-binding,,Translation regulation,,,,
937199,,,Nucleotide-binding,,Phosphoprotein,,,
937813,,RNA-binding,Nucleotide-binding,Transcription termination,,,,
937833,Membrane,Translocase,Nucleotide-binding,Transport,,,,
937841,Cytoplasm,Excision nuclease,Zinc,SOS response,,,,Zinc-finger
937916,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
937917,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,,
937919,,Peroxidase,Metal-binding,Hydrogen peroxide,,,,
938034,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,,
938084,,Ribosomal protein,,,,,,
938104,,rRNA-binding,,,,,,
938158,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,,Coiled coil
938178,Cytoplasm,Transferase,Metal-binding,,,,,
938328,,Ribosomal protein,,,,,,
938338,,rRNA-binding,,,,,,
938342,,rRNA-binding,,,,,,
938347,,tRNA-binding,,,,,,
938348,,tRNA-binding,,,,,,
938349,,rRNA-binding,,,,,,
938354,DNA-directed RNA polymerase,Transferase,,Transcription,,,,
938360,,tRNA-binding,,,,,,
938363,,rRNA-binding,,,,,,
938364,,tRNA-binding,,,,,,
938372,,Ribosomal protein,,,,,,
938414,Cytoplasm,Chaperone,,,,,,
938459,,Ribosomal protein,,,,,,
938461,,rRNA-binding,,,Methylation,,,
938473,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,,
938717,,,Metal-binding,Transport,,,,Repeat
938727,,,Nucleotide-binding,,,,,
940236,,Ribosomal protein,,,,,,
940387,,Protease,Nucleotide-binding,,,,,Repeat
940533,,,,,Phosphoprotein,,,
940641,,,,,,True,,
940989,,,,,,True,,
941029,,Ribosomal protein,,,,,,
941077,Membrane,Protease,Zinc,,,,Reference proteome,Transmembrane helix
941117,,Lyase,Metal-binding,Branched-chain amino acid biosynthesis,,,Reference proteome,
941192,,Nuclease,Metal-binding,DNA repair,,,Reference proteome,
941228,Cytoplasm,Transferase,Zinc,Lipid metabolism,,,Reference proteome,Zinc-finger
941240,,Topoisomerase,Zinc,,,,Reference proteome,Zinc-finger
941259,,Lyase,Metal-binding,Leucine biosynthesis,,,Reference proteome,
941261,Cytoplasm,Excision nuclease,Nucleotide-binding,SOS response,,,Reference proteome,
941274,,Peroxidase,Metal-binding,Hydrogen peroxide,,,Reference proteome,
941308,,Lyase,Zinc,Thiamine biosynthesis,,,Reference proteome,
941320,DNA-directed RNA polymerase,Transferase,Zinc,Transcription,,,Reference proteome,
941327,DNA-directed RNA polymerase,Transferase,,Transcription,,,Reference proteome,Coiled coil
941343,,RNA-binding,Nucleotide-binding,Transcription termination,,,Reference proteome,
941348,,Ligase,Nucleotide-binding,Pyrimidine biosynthesis,,,Reference proteome,Repeat
941360,Cytoplasm,Excision nuclease,Zinc,SOS response,,,Reference proteome,Zinc-finger
941371,,RNA-binding,Metal-binding,Tricarboxylic acid cycle,,,Reference proteome,
941412,Signal recognition particle,RNA-binding,Nucleotide-binding,,,,Reference proteome,
941435,Cytoplasm,Chaperone,Nucleotide-binding,Stress response,,,Reference proteome,Repeat
941451,,Chaperone,Nucleotide-binding,Stress response,Phosphoprotein,,Reference proteome,Coiled coil
941460,,,Metal-binding,Iron storage,,,Reference proteome,
941501,Cytoplasm,RNA-binding,,Translation regulation,,,Reference proteome,
941514,Cytoplasm,Chaperone,Nucleotide-binding,,,,Reference proteome,
941519,,Ribosomal protein,,,,,Reference proteome,
941559,,rRNA-binding,,,,,Reference proteome,
941710,Cytoplasm,Ligase,Nucleotide-binding,Arginine biosynthesis,,,Reference proteome,
941730,Cytoplasm,,,Lipid metabolism,Phosphoprotein,,Reference proteome,
941736,,,Metal-binding,,,,Reference proteome,
941783,,,Ubiquinone,,,,Reference proteome,Repeat
941820,,Protease,Zinc,,,,Reference proteome,
941824,Cytoplasm,rRNA-binding,,Protein biosynthesis,,,Reference proteome,
941890,,rRNA-binding,,,,,Reference proteome,
941991,,Ribosomal protein,,,,,Reference proteome,
942017,,Ribosomal protein,,,,,Reference proteome,
942021,,rRNA-binding,,,,,Reference proteome,
942035,,rRNA-binding,,,,,Reference proteome,
942037,,rRNA-binding,,,,,Reference proteome,
942039,,rRNA-binding,,,,,Reference proteome,
942041,,Ribosomal protein,,,,,Reference proteome,
942053,,rRNA-binding,,,,,Reference proteome,
942079,,tRNA-binding,,,,,Reference proteome,
942104,,,,Transcription termination,,,Reference proteome,
942116,,Ribosomal protein,,,,,Reference proteome,
942119,,tRNA-binding,,,,,Reference proteome,
942136,Cytoplasm,Elongation factor,Nucleotide-binding,Protein biosynthesis,,,Reference proteome,
942168,,rRNA-binding,,,Methylation,,Reference proteome,
942171,,rRNA-binding,,,,,Reference proteome,
942178,,tRNA-binding,,,,,Reference proteome,
942181,,Ribosomal protein,,,,,Reference proteome,
942221,,rRNA-binding,,,,,Reference proteome,
